Timestamp;Date;Time;Value;Access token;
1690755893624;30/07/2023;22:24:53;4942,396484;test_device_2024;
1690748693588;30/07/2023;20:24:53;4942,158203;test_device_2024;
1690741493520;30/07/2023;18:24:53;4939,23291;test_device_2024;
1690734293452;30/07/2023;16:24:53;4939,208008;test_device_2024;
1690727093408;30/07/2023;14:24:53;4937,298828;test_device_2024;
1690719892198;30/07/2023;12:24:52;4930,313477;test_device_2024;
1690712692755;30/07/2023;10:24:52;4938,245605;test_device_2024;
1690705493254;30/07/2023;08:24:53;4943,092285;test_device_2024;
1690698294903;30/07/2023;06:24:54;4945,09082;test_device_2024;
1690691093161;30/07/2023;04:24:53;4945,934082;test_device_2024;
1690683892525;30/07/2023;02:24:52;4946,466797;test_device_2024;
1690676692477;30/07/2023;00:24:52;4946,331543;test_device_2024;
